3_37		squid	[skwɪd]		[skwɪd]	[skwɪd]	[skwɪd]
3_38		starfish	['stɑːfɪʃ]		[ˈstɑːfɪʃ]	[ˈstɑːrfɪʃ]	BrE [ˈstɑːfɪʃ] NAmE [ˈstɑːrfɪʃ]
3_39		whale	[(h)weɪl]		[weɪl]	[weɪl]	[weɪl]
3_40		beaver	['biːvə]		[ˈbiːvə(r)]	[ˈbiːvər]	BrE [ˈbiːvə(r)] NAmE [ˈbiːvər]
3_41		bobcat	['bɔbkæt]		[ˈbɒbkæt]	[ˈbɑːbkæt]	BrE [ˈbɒbkæt] NAmE [ˈbɑːbkæt]
3_42		mole	[məul]		[məʊl]	[moʊl]	BrE [məʊl] NAmE [moʊl]
3_43		opossum	[ə'pɔsəm]		[əˈpɒsəm]	[əˈpɑːsəm]	BrE [əˈpɒsəm] NAmE [əˈpɑːsəm]
3_44		porcupine	['pɔːkjəpaɪn]		[ˈpɔːkjupaɪn]	[ˈpɔːrkjupaɪn]	BrE [ˈpɔːkjupaɪn] NAmE [ˈpɔːrkjupaɪn]
3_45		robin	['rɔbɪn]		[ˈrɒbɪn]	[ˈrɑːbɪn]	BrE [ˈrɒbɪn] NAmE [ˈrɑːbɪn]
3_46		skunk	[skʌŋk]		[skʌŋk]	[skʌŋk]	[skʌŋk]
3_47		squirrel	['skwɪr(ə)l]		[ˈskwɪrəl]	[ˈskwɜːrəl]	BrE [ˈskwɪrəl] NAmE [ˈskwɜːrəl]
3_48		woodpecker	['wudˌpekə]		[ˈwʊdpekə(r)]	[ˈwʊdpekər]	BrE [ˈwʊdpekə(r)] NAmE [ˈwʊdpekər]
3_49		butterfly	['bʌtəflaɪ]		[ˈbʌtəflaɪ]	[ˈbʌtərflaɪ]	BrE [ˈbʌtəflaɪ] NAmE [ˈbʌtərflaɪ]
3_50		dragonfly	['dræg(ə)nflaɪ]		[ˈdræɡənflaɪ]	[ˈdræɡənflaɪ]	[ˈdræɡənflaɪ]
3_51		caterpillar	['kætəpɪlə]		[ˈkætəpɪlə(r)]	[ˈkætərpɪlər]	BrE [ˈkætəpɪlə(r)] NAmE [ˈkætərpɪlər]
3_52		cricket	['krɪkɪt]		[ˈkrɪkɪt]	[ˈkrɪkɪt]	[ˈkrɪkɪt]
3_53		firefly	['faɪəflaɪ]		[ˈfaɪəflaɪ]	[ˈfaɪərflaɪ]	BrE [ˈfaɪəflaɪ] NAmE [ˈfaɪərflaɪ]
3_54		grasshopper	['grɑːsˌhɔpə]		[ˈɡrɑːshɒpə(r)]	[ˈɡræshɑːpər]	BrE [ˈɡrɑːshɒpə(r)] NAmE [ˈɡræshɑːpər]
3_55		ladybug	['leɪdɪbʌg]		[ˈleɪdibɜːd]	[ˈleɪdibɜːrd]	BrE [ˈleɪdibɜːd] NAmE [ˈleɪdibɜːrd]
3_56		mosquito	[mɔs'kiːtəu]		[məˈskiːtəʊ],[mɒskiːtəʊ]	[məˈskiːtoʊ]	BrE [məˈskiːtəʊ],[mɒskiːtəʊ] NAmE [məˈskiːtoʊ]
3_57		moth	[mɔθ]		[mɒθ]	[mɔːθ]	BrE [mɒθ] NAmE [mɔːθ]
3_58		apple pie	['æplˌpaɪ]		[ˈæpl paɪ]	[ˈæpəl paɪ]	BrE [ˈæpl paɪ] NAmE [ˈæpəl paɪ]
3_59		cereal	['sɪərɪəl]		[ˈsɪəriəl]	[ˈsɪriəl]	BrE [ˈsɪəriəl] NAmE [ˈsɪriəl]
3_60		hamburger	['hæmˌbɜːgə]		[ˈhæmbɜːɡə(r)]	[ˈhæmbɜːrɡər]	BrE [ˈhæmbɜːɡə(r)] NAmE [ˈhæmbɜːrɡər]
3_61		salad	['sæləd]		[ˈsæləd]	[ˈsæləd]	[ˈsæləd]
3_62		sandwich	['sænwɪʤ]		[ˈsænwɪtʃ],[ˈsænwɪdʒ]	[ˈsænwɪtʃ],[ˈsænwɪdʒ]	[ˈsænwɪtʃ],[ˈsænwɪdʒ]
3_63		taco	['tækəu]		[ˈtækəʊ]	[ˈtɑːkoʊ]	BrE [ˈtækəʊ] NAmE [ˈtɑːkoʊ]
